ResourceName,ParentAgencyName
Somerset Independent School District Special Education,Somerset Independent School District
Somerset ISD,Somerset Independent School District
Somerset Police Department,
Somerset Police Department,Somerset Police Department
Somervell County Committee on Aging,
Somervell County Emergency Management,
Somervell County Housing Authority,
Somerville Area Assistance Ministries SAAM,
Somerville Independent School District,
Somerville ISD,
Somerville Police Department,
Somerville Police Department,Somerville Police Department
"Somerville, City of",
Something Special Resale Shop,Montgomery County Women's Center
Son Shine Center,
"Son-Shine Outreach Center, Inc",
Sonogram,The Pregnancy Resource Center
Sonora County Resource Center,
Sonora Emergency Center,
Sonora Emergency Center,Sutton County Senior Center
Sonshine House,
Sonshine House Clothing Closet,Sonshine House
Sonshine House Food Pantry,Sonshine House
SOP,
SOP,Some Other Place
SORT,El Paso Police Dept/Police Headquarters
SOS,
SOS,Alpha Tau Omega Senior Opportunity Services of Texas
SOS,Army Survivor Outreach Services at Camp Mabry
SOS,"SOS, Inc., Spirit of Sharing Food Bank, Inc."
SOS,"Spirit of Sharing, Inc."
SOS,Survivor Outreach Services
SOS,Texas Secretary of State
SOS Food Bank,
SOS Food Bank,"SOS, Inc., Spirit of Sharing Food Bank, Inc."
"SOS, Inc., Spirit of Sharing Food Bank","SOS, Inc., Spirit of Sharing Food Bank, Inc."
"SOS, Inc., Spirit of Sharing Food Bank, Inc.",
Sospitas Health Integrated Care,
Soul for Christ Ministry Inc. ,
Soul for Christ Ministry Inc. ,Soul for Christ Ministry Inc. 
Soul's Harbor Inc.,
Soup Kitchen,Christ Episcopal Church Social Services
Soup Kitchen,"Salvation Army of Beaumont, The"
Soup Kitchen,Salvation Army of Midland
Soup Kitchen,"Salvation Army, The - El Paso"
Soup Kitchen,"Viable Ministries, Inc."
Soup Kitchen,Victory to Victory Church
Soup Kitchen Service,"Bethany House of Laredo, Inc."
Soup Kitchens,Newgate Mission
Soup Kitchens,Salvation Army of Wichita Falls
Soup Kitchens,Stewpot-Community Ministries of First Presbyterian
Sour Lake Chamber of Commerce,
Sour Lake PD,
Sour Lake PD,Sour Lake Police Department
Sour Lake Police Department,
"Sour Lake Police Department, Municipal Police",Sour Lake Police Department
Sour Lake Volunteer Fire Department,
Sour Lake Volunteer Fire Department,Hardin County Emergency Services District #5
"Sour Lake, City of",
"Sour Lake, City of, Emergency Management","Sour Lake, City of"
"Sour Lake, City of, Government Services","Sour Lake, City of"
South Austin Church Food Pantry,
South Austin Church Food Pantry,South Austin Church of the Nazarene
South Austin Church of the Nazarene,
South Austin Multipurpose Center,Austin/Travis County Health and Human Services Department
South Austin Naz Food Pantry,
South Austin Naz Food Pantry,South Austin Church of the Nazarene
South Austin PRC,
South Austin PRC,South Austin Pregnancy Resource Center
South Austin Pregnancy Resource Center,
South Austin Pregnancy Resource Center - Pregnancy Services,South Austin Pregnancy Resource Center
South Central Alliance of Churches,
South Central Texas Area of Cocaine Anonymous,
South Central Texas Regional Alert Network,
South Central Texas Regional Alert Network,South Central Texas Regional Alert Network
South County Community Clinic,
South East Texas Area of Narcotics Anonymous,
South East Texas Coalition for the Homeless,South East Texas Regional Planning Commission
South East Texas Council on Alcohol and Drug Abuse,
South East Texas Regional Planning Commission,
South Houston Vista Apartments,
South Lake Houston EMS,
South Limestone Medical District,
South Limestone Medical District,Limestone Medical Center
South Montgomery County Volunteer Fire Department,
South Mountain Elected Officials,City of South Mountain
South Park Community Clinic,Legacy Community Health Services
South Plains Area Agency on Aging AAA,
South Plains Association of Governments,
South Plains Association of Governments Regional Services,South Plains Association of Governments
South Plains Communities in Schools- Lubbock High/Cavazos Middle Schools,
South Plains Community Action Association,South Plains Community Action Association (SPCAA)
South Plains Community Action Association (SPCAA),
South Plains Community Action Association (SPCAA),South Plains Community Action Association (SPCAA)
South Plains Community Action Association - Abilene Office,
"South Plains Community Action Association, Inc- Andrews",
"South Plains Community Action Association, Inc- Odessa",
"South Plains Community Action Association, Inc- Reeves County",
"South Plains Community Action Association, Inc. - Martin County",
"South Plains Community Action Association, Inc. Midland",
"South Plains Community Action Association, Inc. Monahans",
"South Plains Community Action Association, Inc. Winkler County",
"South Plains Community Action Association, Inc.- Iraan",
"South Plains Community Action Association, Inc.- McCamey",
"South Plains Community Action Association, Inc.- Pecos County",
South Plains Community Action Association- Dawson County,
South Plains Food Bank,
South Plains Food Bank,South Plains Food Bank
South Plains Food Bank - Texas Benefits Application Assistance,South Plains Food Bank
South Plains Health Provider,
South Plains Post-Polio and Neuromuscular Support Network,
South Plains Post-Polio and Neuromuscular Support Network,South Plains Post-Polio and Neuromuscular Support Network
South Plains Public Health District,
South Plains Public Health District,South Plains Public Health District
South Plains Public Health District,South Plains Public Health District- Dawson County
South Plains Public Health District- Dawson County,
South Plains Rural Health Services,
South Plains Rural Health Services- Levelland,South Plains Rural Health Services
South San Antonio Independent School District,
South San Antonio Independent School District Main Office,South San Antonio Independent School District
South San Antonio ISD,South San Antonio Independent School District
South San ISD,South San Antonio Independent School District
South Side Community Center,
South Side Community Center,Southside Community Center
South Tarrant Chamber of Commerce,
South Texas Adult Resource Training Center,
South Texas Advocacy  and  Accessibility Resources,
South Texas Advocacy  and  Accessibility Resources,Valley Association for Independent Living - Laredo
South Texas Assessment and Referral Services,
"South Texas Assessment and Referral Services,",South Texas Assessment and Referral Services
South Texas Blood & Tissue Center - San Antonio,
South Texas Blood & Tissue Center Blood Donation Program,South Texas Blood and Tissue Center
South Texas Blood and Tissue Center,
South Texas Blood and Tissue Center,South Texas Blood & Tissue Center - San Antonio
South Texas Blood and Tissue Center Donor Rooms,South Texas Blood & Tissue Center - San Antonio
South Texas Children's Home Ministries,
South Texas Civil Rights Project - Legal Services,Texas Civil Rights Project (TCRP)
South Texas Council Boy Scouts of America,
South Texas Council Boy Scouts of America,South Texas Council Boy Scouts of America
South Texas Development Council - Laredo,
South Texas Development Council - Small Business Financing,South Texas Development Council - Laredo
South Texas Fair Housing Project,Fair Housing Council of Greater San Antonio
South Texas Family Planning and Health Corporation,
South Texas Food Bank,
South Texas Food Bank - Disaster Service,South Texas Food Bank
South Texas Food Bank - Kids Cafe Program,South Texas Food Bank
South Texas Food Bank - Lite-Up Texas,South Texas Food Bank
South Texas Hemophilia and Thrombophilia Center,Children's Hospital of San Antonio
South Texas Immigration Council,
South Texas Independent School District,
South Texas Juvenile Diabetes Association,
South Texas Lighthouse for the Blind,
South Texas Lighthouse for the Blind - Victoria,
South Texas Lighthouse for the Blind - Victoria,South Texas Lighthouse for the Blind - Victoria
South Texas Organ Bank Inc.,
South Texas Rural Health Services - Devine,"South Texas Rural Health Services, Inc. - Devine"
South Texas Rural Health Services - Dilley,"South Texas Rural Health Services, Inc. - Dilley"
South Texas Rural Health Services - Hondo,"South Texas Rural Health Services, Inc. - Hondo"
South Texas Rural Health Services - Pearsall,"South Texas Rural Health Services, Inc. - Pearsall"
South Texas Rural Health Services Devine,
South Texas Rural Health Services Devine,"South Texas Rural Health Services, Inc. - Devine"
South Texas Rural Health Services Dilley,
South Texas Rural Health Services Dilley,"South Texas Rural Health Services, Inc. - Dilley"
South Texas Rural Health Services Hondo,
South Texas Rural Health Services Hondo,"South Texas Rural Health Services, Inc. - Hondo"
South Texas Rural Health Services Pearsall,
"South Texas Rural Health Services, Inc.",
"South Texas Rural Health Services, Inc. - Community Health Clinic (Big Wells)","South Texas Rural Health Services, Inc."
"South Texas Rural Health Services, Inc. - Community Health Clinic (Encinal)","South Texas Rural Health Services, Inc."
"South Texas Rural Health Services, Inc. - Devine",
"South Texas Rural Health Services, Inc. - Dilley",
"South Texas Rural Health Services, Inc. - Hondo",
"South Texas Rural Health Services, Inc. - Pearsall",
"South Texas Rural Health Services, Inc. - Substance Abuse Program (Carrizo Springs)","South Texas Rural Health Services, Inc."
"South Texas Rural Health Services, Inc. - Substance Abuse Program (Eagle Pass)","South Texas Rural Health Services, Inc."
"South Texas Rural Health Services, Inc. - Substance Abuse Program (Uvalde)","South Texas Rural Health Services, Inc."
South Texas Spine and Rehab,
South Texas Spine and Rehab,South Texas Spine and Rehab
South Texas Substance Abuse Recovery Services (STSARS),
South Texas Training Center,
South Texas Urgent Care Center,
South Texas Urgent Care Center - Eagle Pass,South Texas Urgent Care Center
South Texas Urgent Care Center - Uvalde,South Texas Urgent Care Center
South Texas Veterans Health Care System,
South Texas Zoological Society,
South Texas Zoological Society,South Texas Zoological Society
South Waco PDS Elementary,Waco Independent School District
South Waco Recreation Center Services,"Waco, City of"
South West Keys,
South West Keys,Southwest Key Programs
South Wise Services (Trinity Baptist Church),
Southeast Area Ministries,
Southeast Austin Community Youth Development Project,
Southeast Austin Community Youth Development Project,Travis County Health and Human Services and Veterans Services
Southeast Community Outreach for Older People,
Southeast Community Outreach for Older People,Southeast Community Outreach for Older People
Southeast Dallas HIV Services,Parkland Health and Hospital System
Southeast Planned Parenthood Clinic,Planned Parenthood
Southeast Texas Alerting Network,
"Southeast Texas Alerting Network, Mass Emergency Notification",Southeast Texas Alerting Network
Southeast Texas Arts Council,
Southeast Texas Christian Counseling Center,
Southeast Texas Christian Counseling Center,"SETX Christian Counseling Center, LLC"
Southeast Texas Community Health Clinic,
Southeast Texas Food Bank,
Southeast Texas Hospice,
Southeast Texas Interfaith Organization for Disaster Recovery,
"Southeast Texas Interfaith Organization for Disaster Recovery, Repair and Volunteer Services",Southeast Texas Interfaith Organization for Disaster Recovery
Southeast Texas Nonprofit Development Center,
Southeast Wise County Community Services,
Southern Hills Church of Christ,
Southern Hills Church of Christ,Southern Hills Church of Christ
Southern Union Gas Company,
SouthernCare Hospice,
Southlake Chamber of Commerce,
Southlake City Hall,
Southlake Department of Public Safety,
Southlake Public Library,
Southlake Senior Activity Center,
